run_id,schema_version,dataset,model,objective,prior_type,base_seed,n_total,n_selected,n_prior,n_posterior,n_bound,perc_train,perc_prior,stratified,split_hash,delta_train,delta_mc,delta_pac,joint_confidence,mc_samples,kl,kl_over_nbound,mc_err_01,mc_ce,emp_risk_01,emp_risk_ce,cert_risk_01,cert_risk_ce,test_stoch_01,test_postmean_01,test_ens_01,prior_net_test_01,label_noise,train_epochs,prior_epochs,lr,lr_prior,sigma_prior,kl_penalty,duration_sec,exit_code,prior_net_s0_01,test_stoch_01_asrun,test_ens_01_asrun,seed_eval_applied,cert_risk_01_nounion,cert_risk_ce_nounion,n_prior_candidates
fashion-mnist_bbb_learnt_fcn_seed2,2.0,fashion-mnist,fcn,bbb,learnt,2,60000,60000,30000,60000,30000,1.0,0.5,False,92b9a7a9154533b20f1b50c273513fe7,0.025,0.005,0.005,0.99,2000,21220.998046875,0.7073666015625,0.0692642,0.016111959453368126,0.09064176660956308,0.027860887139102678,0.6573486000729225,0.5695824177238619,0.1125,0.1018,0.0993,0.11980000000000002,0.0,100,70,0.005,0.005,0.03,0.1,1027.5,0,0.025967,0.10970000000000002,0.0998,True,0.6572570823065531,0.5694782152877838,999
fashion-mnist_bbb_learnt_fcn_seed3,2.0,fashion-mnist,fcn,bbb,learnt,3,60000,60000,30000,60000,30000,1.0,0.5,False,9b278676f0810cc603db6295c06dd133,0.025,0.005,0.005,0.99,2000,22068.501953125,0.7356167317708333,0.06991151666666667,0.01608907143932895,0.09137087310455157,0.027831354267219666,0.6692200587958184,0.5821217975580382,0.1139,0.1042,0.0997,0.11539999999999995,0.0,100,70,0.005,0.005,0.03,0.1,1078.1,0,0.0258,0.11319999999999997,0.10070000000000001,True,0.6691318506247266,0.5820207482444156,999
fashion-mnist_bbb_learnt_fcn_seed4,2.0,fashion-mnist,fcn,bbb,learnt,4,60000,60000,30000,60000,30000,1.0,0.5,False,8dcf59bb2b2100fc98259e76fe088c00,0.025,0.005,0.005,0.99,2000,21560.662109375,0.7186887369791667,0.06955315,0.015832540450686754,0.09096728640241676,0.027500005638827207,0.6621963250083917,0.5740520444700343,0.1119,0.1005,0.0978,0.11339999999999995,0.0,100,70,0.005,0.005,0.03,0.1,1027.4,0,0.0288,0.11099999999999999,0.09830000000000005,True,0.6621061562049871,0.573949033485097,999
fashion-mnist_fclassic_learnt_fcn_seed0,2.0,fashion-mnist,fcn,fclassic,learnt,0,60000,60000,30000,60000,30000,1.0,0.5,False,067078f63b371b03018ec2a5855a6b18,0.025,0.005,0.005,0.99,2000,27.12995147705078,0.0009043317159016927,0.11181278333333333,0.035685356665529515,0.13774100657877802,0.05193087762524635,0.15737477716005638,0.06501472253901935,0.1228,0.1148,0.1122,0.11950000000000005,0.0,100,70,0.005,0.005,0.03,0.1,1144.5,0,0.023133,0.121,0.11240000000000006,True,0.15575981500950617,0.0639065484741886,999
fashion-mnist_fclassic_learnt_fcn_seed1,2.0,fashion-mnist,fcn,fclassic,learnt,1,60000,60000,30000,60000,30000,1.0,0.5,False,3d124738b9d0dc4b394f2281158411d9,0.025,0.005,0.005,0.99,2000,27.450042724609375,0.0009150014241536458,0.11345543333333333,0.0362116987007951,0.13953232049169637,0.052556023563323284,0.15933740582319564,0.06575719899255178,0.1178,0.1125,0.1084,0.1169,0.0,100,70,0.005,0.005,0.03,0.1,1094.9,0,0.021967,0.12060000000000004,0.10899999999999999,True,0.15772064900599134,0.06464748791954728,999
fashion-mnist_fclassic_learnt_fcn_seed2,2.0,fashion-mnist,fcn,fclassic,learnt,2,60000,60000,30000,60000,30000,1.0,0.5,False,92b9a7a9154533b20f1b50c273513fe7,0.025,0.005,0.005,0.99,2000,23.0211238861084,0.0007673707962036133,0.11107683333333333,0.03457400125963759,0.13693791496383353,0.05060815740432518,0.15558337537181516,0.06290442336592135,0.1224,0.1166,0.1139,0.11980000000000002,0.0,100,70,0.005,0.005,0.03,0.1,1144.6,0,0.025967,0.123,0.11299999999999999,True,0.15389154014320802,0.061756427070051634,999
fashion-mnist_fclassic_learnt_fcn_seed3,2.0,fashion-mnist,fcn,fclassic,learnt,3,60000,60000,30000,60000,30000,1.0,0.5,False,9b278676f0810cc603db6295c06dd133,0.025,0.005,0.005,0.99,2000,25.89293670654297,0.000863097890218099,0.11314241666666666,0.035558482025440506,0.13919110153022105,0.051780063060366366,0.15862376411206122,0.06465501805177704,0.1219,0.1137,0.111,0.11539999999999995,0.0,100,70,0.005,0.005,0.03,0.1,1080.3,0,0.0258,0.12529999999999997,0.11119999999999997,True,0.1569796101070405,0.06353340594384099,999
fashion-mnist_fclassic_learnt_fcn_seed4,2.0,fashion-mnist,fcn,fclassic,learnt,4,60000,60000,30000,60000,30000,1.0,0.5,False,8dcf59bb2b2100fc98259e76fe088c00,0.025,0.005,0.005,0.99,2000,27.48934555053711,0.000916311518351237,0.11402115,0.03577892797331437,0.1401488575074798,0.05204207400866595,0.15999677084949102,0.06519358815653592,0.117,0.1103,0.1065,0.11339999999999995,0.0,100,70,0.005,0.005,0.03,0.1,1151.7,0,0.0288,0.12039999999999995,0.10809999999999997,True,0.15837813912188453,0.06408863697146477,999
fashion-mnist_fquad_learnt_cnn_seed0,2.0,fashion-mnist,cnn,fquad,learnt,0,60000,60000,30000,60000,30000,1.0,0.5,False,067078f63b371b03018ec2a5855a6b18,0.025,0.005,0.005,0.99,2000,401.6055908203125,0.01338685302734375,0.08385936666666667,0.02584751144792466,0.10697241014111997,0.04007080944396785,0.16582443038354716,0.0816575591073679,0.0924,0.0864,0.0847,0.0857,0.0,100,70,0.005,0.005,0.03,0.1,1587.5,0,0.000133,0.09350000000000003,0.08389999999999997,True,0.16528151072756989,0.08124129521885365,999
fashion-mnist_fquad_learnt_cnn_seed1,2.0,fashion-mnist,cnn,fquad,learnt,1,60000,60000,30000,60000,30000,1.0,0.5,False,3d124738b9d0dc4b394f2281158411d9,0.025,0.005,0.005,0.99,2000,507.9667663574219,0.016932225545247395,0.08395101666666667,0.026553164073230297,0.10707429727221147,0.040934393876378594,0.173904217779396,0.08902436099806905,0.0932,0.087,0.0838,0.0867,0.0,100,70,0.005,0.005,0.03,0.1,1624.1,0,0.000167,0.0947,0.0837,True,0.173408027375564,0.08863530017573201,999
fashion-mnist_fquad_learnt_cnn_seed2,2.0,fashion-mnist,cnn,fquad,learnt,2,60000,60000,30000,60000,30000,1.0,0.5,False,92b9a7a9154533b20f1b50c273513fe7,0.025,0.005,0.005,0.99,2000,394.12786865234375,0.013137595621744791,0.08196215,0.02554274089955517,0.10486155841630047,0.03969710112318465,0.16272342050793148,0.08069794214858822,0.0908,0.085,0.0805,0.08579999999999999,0.0,100,70,0.005,0.005,0.03,0.1,1590.7,0,0.000167,0.09319999999999995,0.08179999999999998,True,0.16217949347081503,0.08028023426329173,999
fashion-mnist_fquad_learnt_cnn_seed3,2.0,fashion-mnist,cnn,fquad,learnt,3,60000,60000,30000,60000,30000,1.0,0.5,False,9b278676f0810cc603db6295c06dd133,0.025,0.005,0.005,0.99,2000,377.6765441894531,0.012589218139648438,0.08377403333333333,0.02590292177229726,0.1068775384214688,0.04013870564385342,0.16381516392867773,0.08029745829916675,0.0971,0.0881,0.0837,0.08709999999999996,0.0,100,70,0.005,0.005,0.03,0.1,1577.5,0,3.3e-05,0.09699999999999998,0.08440000000000003,True,0.16325933346688587,0.07987286304194748,999
fashion-mnist_fquad_learnt_cnn_seed4,2.0,fashion-mnist,cnn,fquad,learnt,4,60000,60000,30000,60000,30000,1.0,0.5,False,8dcf59bb2b2100fc98259e76fe088c00,0.025,0.005,0.005,0.99,2000,435.2973937988281,0.014509913126627604,0.08564298333333334,0.025949813533003102,0.10895390519591837,0.04019615237284219,0.17079243286294793,0.08382971326303074,0.092,0.0867,0.0832,0.08699999999999997,0.0,100,70,0.005,0.005,0.03,0.1,1580.4,0,0.000467,0.09079999999999999,0.08220000000000005,True,0.1702635583092332,0.08342347940120416,999
fashion-mnist_fquad_learnt_fcn_seed0,2.0,fashion-mnist,fcn,fquad,learnt,0,60000,60000,30000,60000,30000,1.0,0.5,False,067078f63b371b03018ec2a5855a6b18,0.025,0.005,0.005,0.99,2000,160.54928588867188,0.005351642862955729,0.1083804,0.03177192563538374,0.13399259014560755,0.047255579504630274,0.17400263362125465,0.07405196199020432,0.1208,0.113,0.111,0.11950000000000005,0.0,100,70,0.005,0.005,0.03,0.1,1060.9,0,0.023133,0.1199,0.11129999999999995,True,0.17316847538627161,0.07345844198006451,999
fashion-mnist_fquad_learnt_fcn_seed1,2.0,fashion-mnist,fcn,fquad,learnt,1,60000,60000,30000,60000,30000,1.0,0.5,False,3d124738b9d0dc4b394f2281158411d9,0.025,0.005,0.005,0.99,2000,163.9794464111328,0.0054659815470377605,0.10993366666666667,0.03212620800347567,0.13568978857082742,0.04768092785634698,0.176293654873625,0.07486404132476626,0.1162,0.1089,0.1061,0.1169,0.0,100,70,0.005,0.005,0.03,0.1,1043.4,0,0.021967,0.11719999999999997,0.10650000000000004,True,0.17546331684472877,0.07427315558929333,999
fashion-mnist_fquad_learnt_fcn_seed2,2.0,fashion-mnist,fcn,fquad,learnt,2,60000,60000,30000,60000,30000,1.0,0.5,False,92b9a7a9154533b20f1b50c273513fe7,0.025,0.005,0.005,0.99,2000,144.2677459716797,0.004808924865722656,0.10777446666666667,0.030987978757579478,0.13333009123685677,0.04631279285231089,0.17128085231970397,0.071493626066179,0.1207,0.1143,0.1092,0.11980000000000002,0.0,100,70,0.005,0.005,0.03,0.1,1050.5,0,0.025967,0.12090000000000001,0.10940000000000005,True,0.17041153551060648,0.07088165694721422,999
